word,count
反過來,4
過年,44
天天,92
如,28
知識分子,4
勸導,4
個人,47
瘋,8
平時,55
人現,4
身體健康,11
沒法,8
崩潰,80
密集,12
忙不過來,4
衛生紙,68
何況,4
理解,32
閒到,4
東部,4
派,7
處理,31
這圖,12
推大說,4
不無道理,4
公車上,4
九成,4
直說,20
面面俱到,4
難搞,4
撇除,4
天價,4
倍,8
黃牛,32
價也,4
不太到,4
鄰近,8
沒得,11
研議,4
天前,4
不得而知,4
蔡,8
台灣民眾,4
太有,4
信心,11
票數,4
水準,20
幾百萬,4
中老年人,4
群組,4
揪團,7
提前,4
囤個,4
幾十片,4
正好,11
或許,8
早早,8
建設,12
沒理由,4
說出,7
來來,4
穩定,37
民心,4
正在,7
減少,36
行為,12
說實話,4
日本,47
兇,4
聊勝於無,4
屯貨仔,12
防不勝防,4
上星期,4
公布,32
從早,4
晚,11
每間,15
駐點,4
賴群組,4
夠被,4
搞,35
講不捐,4
大陸,43
人性,16
想像,12
八成,4
專車接送,4
看電視,4
上連,4
馬拉松,4
矛盾,4
浪費,30
風向,88
硬要,12
拖累,4
弄,18
愈亂,4
開心,23
阻止,4
車,31
後面,23
缺,20
很棒,36
拖垮,4
劣幣,4
驅除,4
良幣,4
蘇,4
每店,4
限額,4
美國,12
貴,250
聽到,12
水桶,15
輪班,4
越短,4
中共,24
果然,20
連個,4
極大,4
化,4
噓蘇,4
老頭,4
滿,18
七次,4
滿七,4
投胎,8
配額,16
再酸,4
現,20
在給,4
排超商,4
酸酸,24
換吧,8
班,12
還用,4
還沒去,12
買過,115
按,22
著要,8
自用,4
民進黨,20
硬,24
想法,8
棒棒,28
腦又崩崩,4
長時間,4
距離,7
繁體中文,4
腦袋,36
硬是,12
醒,7
發言,4
迫力,4
配發,16
知,4
換,33
很爽,8
科科,8
早噓,4
顏色,104
出事,8
背,8
追究,4
內亂,4
人噓,8
服務業,4
惟恐天下,4
不亂,4
天用,4
濕氣,4
嘿嘿,4
收復,4
教導,4
消毒,44
法,8
作都,4
嫌作,4
六塊,40
八塊,28
到時候,24
剩一,4
臥病,4
遊民,4
回去,36
眼前,4
這位,4
看似,4
症狀,10
同仁,52
究竟,8
潛伏,12
預防,16
勝於,4
作圖,4
大隊,4
失望,7
是從,8
隔離,8
檢測,12
考量,12
政,20
府,31
想要,48
迫切,4
在連,4
行,19
直,7
智障,27
門口,28
上樓,4
六元,16
炒價,4
漲,64
以上,89
傳,35
幾例,8
趴,36
各自,4
三小不怪,4
怪,20
照,16
控管,44
案例,8
增,4
加才,4
起碼,8
人人,24
有噓,4
ㄅ,4
大聲,12
文蛤,4
這樓,4
坐等,8
亂弄,4
垮台,4
灣,69
哦,45
嘻,8
變大,4
支那,12
談到,4
抓到,4
夠啦,4
那個,107
生產量,4
叭叭,16
社區,16
收縮,4
閉嘴,20
一元,16
版勒,4
精打細算,4
跟上,4
傳給,4
大撈,4
財政,4
別管,4
還被,8
鍵盤,16
天才,12
低能,20
亂成,4
一改,4
下去,15
必,14
第一線,12
傳遞,8
路徑,4
推健保,4
離,8
一家,43
公里,8
暫定,8
指,27
並,23
張卡,4
卡張,4
嘛,45
決策,8
莫名,8
奇妙,4
銳減,4
差距,8
五天,4
互傳,8
背鍋,4
爆點,4
負責,16
方向,4
竟然,30
發大財,28
玩壞,4
搭大眾,8
運輸,8
主因,4
